2xthinclientserver                       2X Software                                             geoffrey@2x.com
bl                                       Reserved for LSB-Compliant Distributions                lsb@lanana.org
blinkd                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
blootbot                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
bluetooth                                Bluetooth subsystem                                     marcel@holtmann.org
bnetd                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
boa                                      Reserved for LSB-Compliant Distributions                lsb@lanana.org
bootmisc.sh                              Reserved for LSB-Compliant Distributions                lsb@lanana.org
bootparamd                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
bpalogin                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
bpowerd                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
brltty                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
bwbar                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
bzflagserver                             SUSE LINUX GmBH a Novell Business                       mmj@suse.de
caantivirus                              Computer Associates                                     lanana.registrations@ca.com
callweaver                               Eris Associates Limited                                 mjagdis@eris-associates.co.uk
camserv                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
camserv-relay                            Reserved for LSB-Compliant Distributions                lsb@lanana.org
canna                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
capisuite                                CapiSuite - SuSE Linux AG                               ghillie@suse.de
caudium                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
centrifydc                               Centrify Direct Control Suite                           adam.au@centrify.com
cern-httpd                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
cfsd                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
chainmail                                Caversham Computer Services Ltd.                        wrd@cavcomp.co.uk
checkfs.sh                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
checkroot.sh                             Reserved for LSB-Compliant Distributions                lsb@lanana.org
chrony                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
chss                                     Coimbra Ltd                                             attila.fulop@coimbra-grp.com
cipe                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
ciphire                                  Ciphire Labs                                            le at ciphirelabs.com
ciphire-gw                               Ciphire Labs                                            le at ciphirelabs.com
ciphire-proxy                            Ciphire Labs                                            le at ciphirelabs.com
cjdbc                                    ObjectWeb Consortium                                    lsb@objectweb.org
clamd                                    ClamAV anti-virus software                              lanana@martinconsulting.com
cnewsclean                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
connectgate                              Lymeware Corporation                                    cfox@lymeware.com
conserver-server                         Reserved for LSB-Compliant Distributions                lsb@lanana.org
console-cyrillic                         Reserved for LSB-Compliant Distributions                lsb@lanana.org
console-log                              Reserved for LSB-Compliant Distributions                lsb@lanana.org
console-screen.kbd.sh                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
console-screen.sh                        Reserved for LSB-Compliant Distributions                lsb@lanana.org
conwrks                                  ConsoleWorks by TECSys Development, Inc.                support@tditx.com
courier-authdaemon                       Reserved for LSB-Compliant Distributions                lsb@lanana.org
courier-imap                             Reserved for LSB-Compliant Distributions                lsb@lanana.org
courier-imap-ssl                         Reserved for LSB-Compliant Distributions                lsb@lanana.org
courier-mta                              Reserved for LSB-Compliant Distributions                lsb@lanana.org
courier-mta-ssl                          Reserved for LSB-Compliant Distributions                lsb@lanana.org
courier-pcp                              Reserved for LSB-Compliant Distributions                lsb@lanana.org
courier-pop                              Reserved for LSB-Compliant Distributions                lsb@lanana.org
courier-pop-ssl                          Reserved for LSB-Compliant Distributions                lsb@lanana.org
cpoint                                   Caversham Computer Services Ltd.                        wrd@cavcomp.co.uk
cprocsp                                  Crypto-Pro, Ltd                                         cross@cryptopro.ru
craits                                   Caversham Computer Services Ltd.                        wrd@cavcomp.co.uk
crms                                     SVI Retail                                              iblackwell@sviretail.com
cron                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
crond                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
crossfire-server                         Reserved for LSB-Compliant Distributions                lsb@lanana.org
cst                                      CST GmbH                                                thimo.neubauer@cst.com
cucipop                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
cups                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
cupsys                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
cvsupd                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
daltoneyes                               Objective Pathology Systems                             kemp@extelligence.net
dancer-ircd                              Reserved for LSB-Compliant Distributions                lsb@lanana.org
dancer-services                          Reserved for LSB-Compliant Distributions                lsb@lanana.org
danted                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
dcfs                                     Ingenieurbüro Dr. Utcke                                 sven.utcke@dr-utcke.de
db2icd                                   IBM DB2 Universal Database Information Center           ihakes@ca.ibm.com
dbbalancer                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
ddclient                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
ddt-client                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
ddt-server                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
decnet                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
devfsd                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
devpts.sh                                Reserved for LSB-Compliant Distributions                lsb@lanana.org
dhclient                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
dhcp                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
dhcp3-relay                              Reserved for LSB-Compliant Distributions                lsb@lanana.org
dhcp3-server                             Reserved for LSB-Compliant Distributions                lsb@lanana.org
dhcpcd                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
dhcp-relay                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
dhid                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
dhttpd                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
diablo                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
diald                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
dictd                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
discover                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
distributed-net                          Reserved for LSB-Compliant Distributions                bovine@distributed.net
distributed-net-pproxy                   Reserved for LSB-Compliant Distributions                bovine@distributed.net
dnet-progs                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
dns-clean                                Reserved for LSB-Compliant Distributions                lsb@lanana.org
dnsmasq                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
docview                                  Caldera Systems Inc. dba The SCO Group                  linuxtech@sco.com
dqs                                      Reserved for LSB-Compliant Distributions                lsb@lanana.org
drac                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
drbd                                     The DRBD development team                               philipp.reisner@linbit.com
dvb                                      SUSE LINUX Products GmbH                                ludwig.nussel@suse.de
ekahau-engine                            Ekahau, Inc                                             juha.sievanen@ekahau.com
eloquence                                Marxmeier Software AG                                   mike@marxmeier.com
elvind                                   Mantara Software                                        lsb@mantara.com
emwin                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
epos                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
esound                                   Enlightenment and Gnome sound daemon                    sbrabec@suse.cz
evms                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
exim                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
ez-ipupdate                              Reserved for LSB-Compliant Distributions                lsb@lanana.org
faximum                                  Faximum Software Inc.                                   George.Pajari@faximum.com
fcron                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
festival                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
fetchmail                                Reserved for LSB-Compliant Distributions                lsb@lanana.org
fidogate                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
filterproxy                              Reserved for LSB-Compliant Distributions                lsb@lanana.org
firestarter                              Reserved for LSB-Compliant Distributions                lsb@lanana.org
firewall-easy                            Reserved for LSB-Compliant Distributions                lsb@lanana.org
fma                                      Fabric Management Agent                                 help@myri.com
frad                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
freenet                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
freenet6                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
freenet-unstable                         Reserved for LSB-Compliant Distributions                lsb@lanana.org
freeradius                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
freewnn-cserver                          Reserved for LSB-Compliant Distributions                lsb@lanana.org
freewnn-jserver                          Reserved for LSB-Compliant Distributions                lsb@lanana.org
freewnn-kserver                          Reserved for LSB-Compliant Distributions                lsb@lanana.org
freewnn-tserver                          Reserved for LSB-Compliant Distributions                lsb@lanana.org
frox                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
fsg                                      The Free Standards Group                                dbb@freestandards.org
ftp-proxy                                Reserved for LSB-Compliant Distributions                lsb@lanana.org
fuse                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
fwctl                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
fwlogwatch                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
galaxy                                   CommVault Galaxy                                        dmitriy@commvault.com
garpd                                    Microcraft AB Garp                                      marko.kupiainen@garp.se
gcpegg                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
gdm                                      Reserved for LSB-Compliant Distributions                lsb@lanana.org
gdomap                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
geas                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
geneweb                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
genpower                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
gidentd                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
gigaset                                  Siemens Gigaset ISDN device drivers                     gigaset307x-common@lists.sourceforge.net
getport                                  University of Utah Office of IT                         support@it.utah.edu
gm                                       Glenn's Messages                                        help@myri.com
gnudip                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
gom                                      Reserved for LSB-Compliant Distributions                lsb@lanana.org
gopherd                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
gpm                                      Reserved for LSB-Compliant Distributions                lsb@lanana.org
gsrunprocessormanager                    Genetic Sequencer                                       jesse.keller@roche.com
guarddog                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
gwava                                    Beginfinite, Inc                                        mjb@gwava.com
gwavaman                                 Beginfinite, Inc                                        mjb@gwava.com
gwava-poa                                Beginfinite, Inc                                        mjb@gwava.com
haldaemon                                Danny Kukawka                                           dkukawka@suse.de
halt                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
heartbeat                                Reserved for LSB-Compliant Distributions                lsb@lanana.org
heimdal-kdc                              Reserved for LSB-Compliant Distributions                lsb@lanana.org
hostname.dhcp                            Reserved for LSB-Compliant Distributions                lsb@lanana.org
hostname.sh                              Reserved for LSB-Compliant Distributions                lsb@lanana.org
hotplug                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
hplip                                    HP Linux Imaging and Printing project                   david.suffield@hp.com
hpoj                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
hpsockd                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
httpd                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
hwclockfirst.sh                          Reserved for LSB-Compliant Distributions                lsb@lanana.org
hwclock.sh                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
hwtools                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
hylafax                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
iagent                                   Lymeware Corporation                                    cfox@lymeware.com
iagent3                                  Lymeware Corporation                                    cfox@lymeware.com
iaxmodem                                 Millenux GmbH                                           michael.kromer@millenux.com
icecast-server                           Reserved for LSB-Compliant Distributions                lsb@lanana.org
identd                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
ifupdown                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
inet                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
inetd                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
initrd-tools.sh                          Reserved for LSB-Compliant Distributions                lsb@lanana.org
inn                                      Reserved for LSB-Compliant Distributions                lsb@lanana.org
inn2                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
intel-rng-tools                          Reserved for LSB-Compliant Distributions                lsb@lanana.org
interchange                              Reserved for LSB-Compliant Distributions                lsb@lanana.org
ipac                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
ipac-ng                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
ipfm                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
ipip                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
ipmasq                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
ipmasq-kmod                              Reserved for LSB-Compliant Distributions                lsb@lanana.org
ipmi                                     OpenIPMI Project                                        matt_domsch@dell.com
ippl                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
ipsec                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
iptables                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
ipvsadm                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
ipx                                      Reserved for LSB-Compliant Distributions                lsb@lanana.org
ipxripd                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
ircd                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
irda                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
irq_balancer                             SUSE LINUX Products GmbH                                sf@suse.de
is                                       Friedrich Schiller University of Jena, FMI              uwe.richter@uni-jena.de
mgetty-fax                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
isapnp                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
isdn                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
isdnactivecards                          Reserved for LSB-Compliant Distributions                lsb@lanana.org
isdneurofile                             Reserved for LSB-Compliant Distributions                lsb@lanana.org
isdnutils                                Reserved for LSB-Compliant Distributions                lsb@lanana.org
ispcp_daemon                             ispCP Omega project                                     atomo64@gmail.com
ispcp_network                            ispCP Omega project                                     atomo64@gmail.com
ivman                                    Rohan McGovern                                          rohan@mcgovern.id.au
ixbiff                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
jabber                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
jail                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
jboss                                    JBoss Application, SUSE CR s.r.o.                       pmladek@suse.cz
jftpgw                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
jmon                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
jonas                                    JOnAS, ObjectWeb Consortium                             lsb@objectweb.org
jove                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
joystick                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
jserv                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
jslaunch                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
junkbuster                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
kannel                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
kdm                                      Reserved for LSB-Compliant Distributions                lsb@lanana.org
keep                                     Concentrico, Inc                                        skirkby@concentrico.net
keepd                                    Concentrico, Inc                                        skirkby@concentrico.net
kerberos4kth-kdc                         Reserved for LSB-Compliant Distributions                lsb@lanana.org
keymap.sh                                Reserved for LSB-Compliant Distributions                lsb@lanana.org
kimberlite                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
klisa                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
klogd                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
krb5-admin-server                        Reserved for LSB-Compliant Distributions                lsb@lanana.org
krb5-kdc                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
kudzu                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
l2tpd                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
lambdamoo                                Reserved for LSB-Compliant Distributions                lsb@lanana.org
laptop-net                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
latd                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
lcd4linux                                lcd4linux package                                       tsieden@suse.de
LCDd                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
ldirectord                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
leeuwenhoek                              Objective Pathology Systems                             kemp@extelligence.net
ledd                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
lfsad                                    Linux filesystem agent daemon                           jzb2@aexorsyst.com
chipcardd3                               Martin Preuss                                           martin@libchipcard.de
linesrv                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
linuxconf                                Reserved for LSB-Compliant Distributions                lsb@lanana.org
linuxlogo                                Reserved for LSB-Compliant Distributions                lsb@lanana.org
lirc                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
lmsd                                     LAN Management System Daemon - Lucas J. Mozer           baseciq@baseciq.org
log2mail                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
lokkit                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
lpd                                      Reserved for LSB-Compliant Distributions                lsb@lanana.org
lpd-ppd                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
lprng                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
lsf                                      Platform Computing                                      billm@platform.com
lsh-server                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
lvm                                      Reserved for LSB-Compliant Distributions                lsb@lanana.org
lwresd                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
lyskom-server                            Reserved for LSB-Compliant Distributions                lsb@lanana.org
mailscanner                              Reserved for LSB-Compliant Distributions                lsb@lanana.org
makedev                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
mandate                                  ADS Specialists, Inc.                                   gedwards@ads-specialists.com
mandateip                                ADS Specialists, Inc.                                   gedwards@ads-specialists.com
maradns                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
mas                                      mas by Shiman Associates Inc                            leon@magic.shiman.com
mason                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
masqmail                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
maxdb                                    MaxDB by MySQL AB                                       zak@mysql.com
mbc                                      SoftWell Performance AB                                 tomas.ruden@softwell.se
mcserv                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
mdadm                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
mdadm-raid                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
mdctl                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
mdctl-raid                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
mdidentd                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
medusa                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
membase                                  Membase, Inc./membase.org Open Source Project           matt@membase.com
mgetty-fax                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
microcode.ctl                            Reserved for LSB-Compliant Distributions                lsb@lanana.org
mimersql                                 Upright Database Technology AB Mimer SQL                per.bengtsson@upright.se
modutils                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
momonga                                  Momonga Project                                         muraken@momonga-linux.org
mon                                      Reserved for LSB-Compliant Distributions                lsb@lanana.org
mopd                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
mosix                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
mountall.sh                              Reserved for LSB-Compliant Distributions                lsb@lanana.org
mountfix                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
mountnfs.sh                              Reserved for LSB-Compliant Distributions                lsb@lanana.org
mpagent                                  Grid MP Platform by United Devices                      jlawson@ud.com
mpservices                               Grid MP Platform by United Devices                      jlawson@ud.com
mpwebsvc                                 Grid MP Platform by United Devices                      jlawson@ud.com
mrouted                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
msec-daemon                              GFi Software Ltd                                        raphael@gfi.com
msec-milter                              GFi Software Ltd                                        raphael@gfi.com
mserv                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
mserver                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
mt-st                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
muddleftpd                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
murasaki                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
mwavem                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
mx                                       Myrinet Express                                         help@myri.com
mysql                                    MySQL by MySQL AB                                       zak@mysql.com
named                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
nas                                      Reserved for LSB-Compliant Distributions                lsb@lanana.org
nbd-client                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
nbd-server                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
nerds                                    Network Evidential Reconstruction of Data Streams       bcheese@netspeed.com.au
net-acct                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
netatalk                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
netenv                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
nethack                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
netobjd                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
netperf                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
netplan                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
netsaint                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
netsaint-statd                           Reserved for LSB-Compliant Distributions                lsb@lanana.org
netvsn                                   NetVision, Inc                                          jay.adams@netvision.com
netvision                                NetVision, Inc                                          jay.adams@netvision.com
network                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
networking                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
newscache                                NewsCache project Herbert Straub                        herbert@linuxhacker.at
nfs                                      Reserved for LSB-Compliant Distributions                lsb@lanana.org
nfs-common                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
nfs-kernel-server                        Reserved for LSB-Compliant Distributions                lsb@lanana.org
nfslock                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
nfs-user-server                          Reserved for LSB-Compliant Distributions                lsb@lanana.org
nis                                      Reserved for LSB-Compliant Distributions                lsb@lanana.org
nmb                                      Samba                                                   lmuelle@suse.de
nntpcache                                Reserved for LSB-Compliant Distributions                lsb@lanana.org
noffle                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
noflushd                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
nps                                      Netezza Corp.                                           pds@us.ibm.com
nscd                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
nsmon                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
ntop                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
ntp                                      Reserved for LSB-Compliant Distributions                lsb@lanana.org
ntpdate                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
nullmailer                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
nut                                      Reserved for LSB-Compliant Distributions                lsb@lanana.org
nviboot                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
nvi-m17n                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
nvi-m17n-canna                           Reserved for LSB-Compliant Distributions                lsb@lanana.org
oftpd                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
oidentd                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
omniorb-nameserver                       Reserved for LSB-Compliant Distributions                lsb@lanana.org
omreports                                University of Utah Office of IT                         support@it.utah.edu
oops                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
opal                                     LEICON di Serenella Saccon                              support@leicon.it
openafs-client                           Reserved for LSB-Compliant Distributions                lsb@lanana.org
openafs-fileserver                       Reserved for LSB-Compliant Distributions                lsb@lanana.org
opengate                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
openh323gk                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
openmanage                               Dell Inc                                                prakash_nara@dell.com
openmosix                                Reserved for LSB-Compliant Distributions                lsb@lanana.org
openstack-glance-api                     SUSE                                                    saschpe@suse.de
openstack-glance-registry                SUSE                                                    saschpe@suse.de
openstack-keystone                       SUSE                                                    saschpe@suse.de
openstack-nova-api                       SUSE                                                    saschpe@suse.de
openstack-nova-cert                      SUSE                                                    saschpe@suse.de
openstack-nova-compute                   SUSE                                                    saschpe@suse.de
openstack-nova-consoleauth               SUSE                                                    saschpe@suse.de
openstack-nova-network                   SUSE                                                    saschpe@suse.de
openstack-nova-objectstore               SUSE                                                    saschpe@suse.de
openstack-nova-scheduler                 SUSE                                                    saschpe@suse.de
openstack-nova-vncproxy                  SUSE                                                    saschpe@suse.de
